[KGenerating Samples |###########################     | (223/256) Sample Time: 6.232s | Infer Batch: 40.9 | Total: 0:23:10 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 6.232s | Infer Batch: 40.9 | Total: 0:23:11 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 6.232s | Infer Batch: 40.9 | Total: 0:23:12 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 6.232s | Infer Batch: 40.9 | Total: 0:23:13 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 6.232s | Infer Batch: 40.9 | Total: 0:23:14 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 6.232s | Infer Batch: 40.9 | Total: 0:23:15 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 6.232s | Infer Batch: 40.9 | Total: 0:23:16 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 6.232s | Infer Batch: 40.9 | Total: 0:23:17 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 6.242s | Infer Batch: 40.9 | Total: 0:23:18 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 6.242s | Infer Batch: 40.9 | Total: 0:23:19 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 6.219s | Infer Batch: 40.9 | Total: 0:23:20 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 6.219s | Infer Batch: 40.9 | Total: 0:23:21 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:22 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:23 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:24 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:25 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:26 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:27 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:28 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:29 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:30 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:31 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:32 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 6.203s | Infer Batch: 40.9 | Total: 0:23:33 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 6.229s | Infer Batch: 40.9 | Total: 0:23:34 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 6.229s | Infer Batch: 40.9 | Total: 0:23:35 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 6.229s | Infer Batch: 40.9 | Total: 0:23:36 | ETA: 0:00:01
