[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:15 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:16 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:18 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:19 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:20 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:21 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:22 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:23 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:24 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:25 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:26 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:27 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:28 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:29 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:30 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:31 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:32 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:33 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:34 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:35 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:36 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:37 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:38 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:39 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:40 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:41 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:42 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:43 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:44 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:45 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:46 | ETA: 0:00:01
