[KGenerating Samples |###########################     | (220/256) Sample Time: 5.583s | Infer Batch: 44.1 | Total: 0:20:28 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.560s | Infer Batch: 44.1 | Total: 0:20:29 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.560s | Infer Batch: 44.1 | Total: 0:20:30 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.560s | Infer Batch: 44.1 | Total: 0:20:31 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.560s | Infer Batch: 44.1 | Total: 0:20:32 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.560s | Infer Batch: 44.1 | Total: 0:20:33 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.560s | Infer Batch: 44.1 | Total: 0:20:34 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.560s | Infer Batch: 44.1 | Total: 0:20:35 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.560s | Infer Batch: 44.1 | Total: 0:20:36 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.560s | Infer Batch: 44.1 | Total: 0:20:37 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 5.576s | Infer Batch: 44.0 | Total: 0:20:38 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 5.576s | Infer Batch: 44.0 | Total: 0:20:39 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:20:40 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 5.561s | Infer Batch: 44.0 | Total: 0:20:41 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.545s | Infer Batch: 44.0 | Total: 0:20:42 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.545s | Infer Batch: 44.0 | Total: 0:20:43 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.545s | Infer Batch: 44.0 | Total: 0:20:44 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.545s | Infer Batch: 44.0 | Total: 0:20:45 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.545s | Infer Batch: 44.0 | Total: 0:20:46 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 5.544s | Infer Batch: 44.0 | Total: 0:20:47 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 5.544s | Infer Batch: 44.0 | Total: 0:20:48 | ETA: 0:00:01
