[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:30 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:31 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:32 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:33 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:34 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:35 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:36 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:37 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:38 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:39 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 4.611s | Infer Batch: 41.5 | Total: 0:17:40 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 4.611s | Infer Batch: 41.5 | Total: 0:17:41 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 4.611s | Infer Batch: 41.5 | Total: 0:17:42 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 4.611s | Infer Batch: 41.5 | Total: 0:17:43 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 4.611s | Infer Batch: 41.5 | Total: 0:17:44 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 4.611s | Infer Batch: 41.5 | Total: 0:17:45 | ETA: 0:00:01
