[KGenerating Samples |########################        | (198/256) Sample Time: 2.215s | Infer Batch: 43.3 | Total: 0:07:19 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 2.215s | Infer Batch: 43.3 | Total: 0:07:20 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 2.212s | Infer Batch: 43.3 | Total: 0:07:21 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 2.212s | Infer Batch: 43.3 | Total: 0:07:22 | ETA: 0:00:01
[KGenerating Samples |#########################       | (200/256) Sample Time: 2.215s | Infer Batch: 43.3 | Total: 0:07:23 | ETA: 0:00:01
[KGenerating Samples |#########################       | (201/256) Sample Time: 2.208s | Infer Batch: 43.3 | Total: 0:07:24 | ETA: 0:00:01
[KGenerating Samples |#########################       | (201/256) Sample Time: 2.208s | Infer Batch: 43.3 | Total: 0:07:25 | ETA: 0:00:01
[KGenerating Samples |#########################       | (202/256) Sample Time: 2.207s | Infer Batch: 43.3 | Total: 0:07:26 | ETA: 0:00:01
[KGenerating Samples |#########################       | (204/256) Sample Time: 2.190s | Infer Batch: 43.3 | Total: 0:07:27 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 2.184s | Infer Batch: 43.3 | Total: 0:07:28 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 2.184s | Infer Batch: 43.3 | Total: 0:07:29 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 2.184s | Infer Batch: 43.3 | Total: 0:07:30 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 2.184s | Infer Batch: 43.3 | Total: 0:07:31 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 2.184s | Infer Batch: 43.3 | Total: 0:07:32 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 2.184s | Infer Batch: 43.3 | Total: 0:07:33 | ETA: 0:00:01
[KGenerating Samples |#########################       | (207/256) Sample Time: 2.194s | Infer Batch: 43.3 | Total: 0:07:34 | ETA: 0:00:01
[KGenerating Samples |#########################       | (207/256) Sample Time: 2.194s | Infer Batch: 43.3 | Total: 0:07:35 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 2.189s | Infer Batch: 43.3 | Total: 0:07:36 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 2.189s | Infer Batch: 43.3 | Total: 0:07:37 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 2.189s | Infer Batch: 43.3 | Total: 0:07:38 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 2.189s | Infer Batch: 43.3 | Total: 0:07:39 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 2.189s | Infer Batch: 43.3 | Total: 0:07:40 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 2.204s | Infer Batch: 43.3 | Total: 0:07:41 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 2.204s | Infer Batch: 43.3 | Total: 0:07:42 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 2.204s | Infer Batch: 43.3 | Total: 0:07:43 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 2.207s | Infer Batch: 43.3 | Total: 0:07:44 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 2.202s | Infer Batch: 43.3 | Total: 0:07:45 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 2.202s | Infer Batch: 43.3 | Total: 0:07:46 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 2.202s | Infer Batch: 43.3 | Total: 0:07:47 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 2.209s | Infer Batch: 43.3 | Total: 0:07:48 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 2.209s | Infer Batch: 43.3 | Total: 0:07:49 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 2.209s | Infer Batch: 43.3 | Total: 0:07:50 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 2.209s | Infer Batch: 43.3 | Total: 0:07:51 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 2.209s | Infer Batch: 43.3 | Total: 0:07:52 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 2.209s | Infer Batch: 43.3 | Total: 0:07:53 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 2.224s | Infer Batch: 43.3 | Total: 0:07:54 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 2.224s | Infer Batch: 43.3 | Total: 0:07:55 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 2.224s | Infer Batch: 43.3 | Total: 0:07:56 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 2.224s | Infer Batch: 43.3 | Total: 0:07:57 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.3 | Total: 0:07:58 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.3 | Total: 0:07:59 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.3 | Total: 0:08:00 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.3 | Total: 0:08:01 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.3 | Total: 0:08:02 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.3 | Total: 0:08:03 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.4 | Total: 0:08:04 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.4 | Total: 0:08:05 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.4 | Total: 0:08:06 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 2.223s | Infer Batch: 43.4 | Total: 0:08:07 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 2.259s | Infer Batch: 43.4 | Total: 0:08:08 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 2.255s | Infer Batch: 43.4 | Total: 0:08:09 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 2.255s | Infer Batch: 43.4 | Total: 0:08:10 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 2.253s | Infer Batch: 43.4 | Total: 0:08:11 | ETA: 0:00:01
