[KGenerating Samples |#########################       | (203/256) Sample Time: 3.309s | Infer Batch: 42.0 | Total: 0:11:11 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 3.309s | Infer Batch: 42.0 | Total: 0:11:12 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 3.309s | Infer Batch: 42.0 | Total: 0:11:13 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 3.309s | Infer Batch: 42.0 | Total: 0:11:14 | ETA: 0:00:01
[KGenerating Samples |#########################       | (204/256) Sample Time: 3.311s | Infer Batch: 42.0 | Total: 0:11:15 | ETA: 0:00:01
[KGenerating Samples |#########################       | (204/256) Sample Time: 3.311s | Infer Batch: 42.0 | Total: 0:11:16 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 3.303s | Infer Batch: 42.0 | Total: 0:11:17 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 3.263s | Infer Batch: 42.0 | Total: 0:11:18 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 3.250s | Infer Batch: 42.1 | Total: 0:11:19 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 3.250s | Infer Batch: 42.1 | Total: 0:11:20 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 3.244s | Infer Batch: 42.1 | Total: 0:11:21 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 3.234s | Infer Batch: 42.1 | Total: 0:11:22 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 3.234s | Infer Batch: 42.1 | Total: 0:11:23 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 3.234s | Infer Batch: 42.0 | Total: 0:11:24 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 3.234s | Infer Batch: 42.1 | Total: 0:11:25 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 3.234s | Infer Batch: 42.1 | Total: 0:11:26 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 3.234s | Infer Batch: 42.0 | Total: 0:11:27 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 3.234s | Infer Batch: 42.0 | Total: 0:11:28 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:29 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:30 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:31 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:33 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:34 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:35 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:36 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:37 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:38 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:39 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:40 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 3.253s | Infer Batch: 42.0 | Total: 0:11:41 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 3.294s | Infer Batch: 42.0 | Total: 0:11:42 | ETA: 0:00:01
