[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:33 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:34 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:35 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:36 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:37 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:38 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:39 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:40 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:41 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:42 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:43 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 5.339s | Infer Batch: 40.8 | Total: 0:20:44 | ETA: 0:00:01
[KGenerating Samples |#############################   | (234/256) Sample Time: 5.318s | Infer Batch: 40.8 | Total: 0:20:45 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.280s | Infer Batch: 40.8 | Total: 0:20:46 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.280s | Infer Batch: 40.8 | Total: 0:20:47 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.280s | Infer Batch: 40.8 | Total: 0:20:48 | ETA: 0:00:01
[KGenerating Samples |#############################   | (236/256) Sample Time: 5.280s | Infer Batch: 40.8 | Total: 0:20:49 | ETA: 0:00:01
