[KGenerating Samples |##########################      | (211/256) Sample Time: 4.987s | Infer Batch: 43.4 | Total: 0:17:36 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 4.987s | Infer Batch: 43.4 | Total: 0:17:37 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 4.989s | Infer Batch: 43.4 | Total: 0:17:38 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 4.989s | Infer Batch: 43.4 | Total: 0:17:39 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 4.989s | Infer Batch: 43.4 | Total: 0:17:40 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 4.989s | Infer Batch: 43.4 | Total: 0:17:41 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 4.989s | Infer Batch: 43.4 | Total: 0:17:42 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 4.992s | Infer Batch: 43.4 | Total: 0:17:43 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 4.992s | Infer Batch: 43.4 | Total: 0:17:44 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 4.992s | Infer Batch: 43.4 | Total: 0:17:45 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 4.992s | Infer Batch: 43.4 | Total: 0:17:46 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 4.992s | Infer Batch: 43.4 | Total: 0:17:47 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.992s | Infer Batch: 43.4 | Total: 0:17:48 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.992s | Infer Batch: 43.4 | Total: 0:17:49 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 4.992s | Infer Batch: 43.4 | Total: 0:17:50 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 4.981s | Infer Batch: 43.4 | Total: 0:17:51 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 4.943s | Infer Batch: 43.4 | Total: 0:17:52 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 4.943s | Infer Batch: 43.4 | Total: 0:17:53 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 4.943s | Infer Batch: 43.4 | Total: 0:17:54 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 4.943s | Infer Batch: 43.4 | Total: 0:17:55 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 4.943s | Infer Batch: 43.4 | Total: 0:17:56 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 4.943s | Infer Batch: 43.4 | Total: 0:17:57 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 4.924s | Infer Batch: 43.4 | Total: 0:17:58 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 4.924s | Infer Batch: 43.4 | Total: 0:17:59 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 4.924s | Infer Batch: 43.4 | Total: 0:18:00 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.916s | Infer Batch: 43.4 | Total: 0:18:01 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.916s | Infer Batch: 43.4 | Total: 0:18:02 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.916s | Infer Batch: 43.4 | Total: 0:18:03 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.916s | Infer Batch: 43.4 | Total: 0:18:04 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 4.916s | Infer Batch: 43.4 | Total: 0:18:05 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 4.917s | Infer Batch: 43.4 | Total: 0:18:06 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 4.899s | Infer Batch: 43.4 | Total: 0:18:07 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 4.899s | Infer Batch: 43.4 | Total: 0:18:08 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:09 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:10 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:11 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:12 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:13 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:14 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:15 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:16 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:17 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:18 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:19 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:21 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.884s | Infer Batch: 43.4 | Total: 0:18:22 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.923s | Infer Batch: 43.4 | Total: 0:18:23 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.923s | Infer Batch: 43.4 | Total: 0:18:24 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.923s | Infer Batch: 43.4 | Total: 0:18:25 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.923s | Infer Batch: 43.4 | Total: 0:18:26 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.923s | Infer Batch: 43.4 | Total: 0:18:27 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.923s | Infer Batch: 43.4 | Total: 0:18:28 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.923s | Infer Batch: 43.4 | Total: 0:18:29 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.923s | Infer Batch: 43.4 | Total: 0:18:30 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.923s | Infer Batch: 43.4 | Total: 0:18:31 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 4.939s | Infer Batch: 43.4 | Total: 0:18:32 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 4.939s | Infer Batch: 43.4 | Total: 0:18:33 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 4.939s | Infer Batch: 43.4 | Total: 0:18:34 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.912s | Infer Batch: 43.4 | Total: 0:18:35 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.912s | Infer Batch: 43.4 | Total: 0:18:36 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.912s | Infer Batch: 43.4 | Total: 0:18:37 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.912s | Infer Batch: 43.4 | Total: 0:18:38 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:39 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:40 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:41 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:42 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:43 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:44 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:45 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:46 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:47 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:48 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:49 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:50 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.907s | Infer Batch: 43.4 | Total: 0:18:51 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.942s | Infer Batch: 43.4 | Total: 0:18:52 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.905s | Infer Batch: 43.4 | Total: 0:18:53 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.905s | Infer Batch: 43.4 | Total: 0:18:54 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.905s | Infer Batch: 43.4 | Total: 0:18:55 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 4.905s | Infer Batch: 43.4 | Total: 0:18:56 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 4.898s | Infer Batch: 43.4 | Total: 0:18:57 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 4.898s | Infer Batch: 43.4 | Total: 0:18:58 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 4.898s | Infer Batch: 43.4 | Total: 0:18:59 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 4.898s | Infer Batch: 43.4 | Total: 0:19:00 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 4.898s | Infer Batch: 43.4 | Total: 0:19:01 | ETA: 0:00:01
[KGenerating Samples |#############################   | (233/256) Sample Time: 4.900s | Infer Batch: 43.4 | Total: 0:19:02 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:03 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:04 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:05 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:06 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:07 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:08 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:09 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:10 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:11 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:12 | ETA: 0:00:01
[KGenerating Samples |#############################   | (235/256) Sample Time: 4.862s | Infer Batch: 43.4 | Total: 0:19:13 | ETA: 0:00:01
